Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz          C       Area
    6.0185     6.1335   342.4878    -0.0224    -0.0209    -0.9995    -0.7328    -0.6797     0.0307    -0.6800     0.7332    -0.0000     0.0002   112.5883
    6.0073     6.1231   341.9881    -0.0223    -0.0206    -0.9995     0.5583     0.8291    -0.0296     0.8293    -0.5587    -0.0070     0.0013   112.5874
    5.9961     6.1127   341.4884    -0.0228    -0.0214    -0.9995    -0.5498    -0.8347     0.0304    -0.8350     0.5502     0.0073     0.0051   112.5905
    5.9849     6.1023   340.9888    -0.0209    -0.0185    -0.9996     0.5493     0.8352    -0.0270     0.8354    -0.5496    -0.0073     0.0190   112.5793
    5.9737     6.0919   340.4891    -0.0280    -0.0294    -0.9992    -0.5489    -0.8349     0.0399    -0.8354     0.5496     0.0073     0.0710   112.6283
    5.9568     6.0728   339.9898    -0.0354    -0.0406    -0.9986     0.5487     0.8343    -0.0533     0.8353    -0.5498    -0.0073     0.0173   112.6988
    5.9398     6.0536   339.4906    -0.0337    -0.0380    -0.9987    -0.5518    -0.8325     0.0503    -0.8333     0.5527     0.0071     0.0050   112.6808
    5.9228     6.0344   338.9913    -0.0340    -0.0385    -0.9987     0.5712     0.8192    -0.0510     0.8201    -0.5722    -0.0059     0.0026   112.6842
    5.9058     6.0151   338.4921    -0.0344    -0.0390    -0.9986    -0.5890    -0.8065     0.0518    -0.8074     0.5900     0.0048     0.0054   112.6883
    5.8888     5.9959   337.9928    -0.0324    -0.0363    -0.9988     0.5915     0.8048    -0.0485     0.8056    -0.5924    -0.0046     0.0189   112.6692
